Wavelength,H_blocker,K,L,M
1.38735,0.00186402,0.0155149,0.00136066,0.00163841
1.38773,0.00142925,0.0163259,0.00268435,0.00183129
1.38812,0.000636684,0.0137518,0.0024147,0.00158787
1.3885,0.00167343,0.0151284,0.00132823,0.000983715
1.38889,0.00143231,0.0139689,0.00202417,0.000233412
1.38927,0.000184405,0.0141516,0.000671387,0.00141311
1.38966,0.000553141,0.0143738,0.000780582,0.00106907
1.39005,0.00137807,0.0140746,0.00161695,0.000731707
1.39043,0.000922953,0.0132427,0.000277996,0.00136209
1.39082,0.000931363,0.0133893,0.000872612,0.0014267
1.39121,0.00108442,0.0152264,0.00126791,0.00156426
1.39159,0.00107919,0.0142846,0.00129867,0.000725269
1.39198,0.000972418,0.0167954,0.0014329,0.00223851
1.39237,0.00124805,0.015295,0.00175595,0.000885248
1.39276,0.0010474,0.0142331,0.00179291,0.0012188
1.39315,0.000499186,0.0143671,0.000589132,0.00239825
1.39353,0.000807743,0.0149784,0.000260115,0.00242376
1.39392,0.00133007,0.0138395,0.001333,0.00152922
1.39431,0.00209705,0.0149047,0.0024724,0.000773907
1.3947,0.00111748,0.0151486,0.00139379,0.00185847
1.39509,0.00137143,0.0147371,0.00183845,0.000833511
1.39548,0.000860377,0.0148053,0.00233626,0.000499487
1.39587,0.000702625,0.0148687,0.00117254,0.00155401
1.39626,0.000293811,0.0157506,0.000747681,0.00202775
1.39665,0.000922738,0.0149088,0.000841618,0.00124836
1.39704,0.00107899,0.0143843,0.0011394,0.00122237
1.39743,0.00151634,0.0144692,0.000550032,0.00119519
1.39782,0.000701463,0.015398,0.000531197,0.00188303
1.39821,0.00327463,0.0135858,0.0014224,0.00115395
1.3986,0.000776246,0.014406,0.00220108,0.00201368
1.39899,0.00156398,0.0140364,0.00143957,0.00156736
1.39938,0.00145891,0.0144672,0.000365257,0.001158
1.39978,0.0011882,0.0133672,0.00281858,0.00154614
1.40017,0.00179548,0.01489,0.00130343,0.00171948
1.40056,0.00228743,0.014025,0.00172114,0.00158048
1.40095,0.0017983,0.0135183,0.00118017,0.00106335
1.40135,0.00200903,0.0152955,0.00119662,0.00153661
1.40174,0.00111142,0.012866,0.00120974,0.00172162
1.40213,0.000729586,0.0136483,0.0012145,0.00162148
1.40252,0.0016817,0.0147517,0.00126147,0.00204349
1.40292,0.00183726,0.0141485,0.00118875,0.00216746
1.40331,0.0013969,0.0129106,0.00260115,0.00127768
1.40371,0.00259957,0.0129721,0.000571489,0.00138617
1.4041,0.00394907,0.0131128,0.00133395,0.00280619
1.40449,0.00241316,0.0139859,0.00149083,0.00148416
1.40489,0.00128618,0.0139513,0.000651121,0.000845194
1.40528,0.00236639,0.0139372,0.000525236,0.000882149
1.40568,0.00182763,0.0134823,0.000780344,0.000892878
1.40607,0.00121717,0.0129869,0.000933647,0.00065279
1.40647,0.00177299,0.0128608,0.000535011,0.00109601
1.40687,0.00257495,0.0135374,0.00104022,0.00234556
1.40726,0.00157388,0.0135431,0.00100136,0.000789166
1.40766,0.00165986,0.014652,0.0009408,0.000176191
1.40805,0.00232803,0.0121095,0.00101709,0.00145125
1.40845,0.00218002,0.0128305,0.00192618,0.00210595
